,date,open,close,high,low,volume,code
3052,2012-08-17,2111.65,2114.89,2120.71,2100.79,44390634.0,sh
3053,2012-08-20,2102.23,2106.96,2110.78,2089.02,46717499.0,sh
3054,2012-08-21,2106.38,2118.27,2124.2,2103.07,60756505.0,sh
3055,2012-08-22,2118.88,2107.71,2121.15,2097.6,58441412.0,sh
3056,2012-08-23,2106.96,2113.07,2118.74,2097.08,58472299.0,sh
3057,2012-08-24,2108.36,2092.1,2109.82,2089.22,60178948.0,sh
3058,2012-08-27,2085.37,2055.71,2085.37,2055.38,60314833.0,sh
3059,2012-08-28,2054.97,2073.15,2083.96,2052.49,54422104.0,sh
3060,2012-08-29,2066.82,2053.24,2073.95,2051.77,52209808.0,sh
3061,2012-08-30,2044.03,2052.58,2060.19,2032.54,61963792.0,sh
3062,2012-08-31,2046.29,2047.52,2059.3,2044.65,46143904.0,sh
3063,2012-09-03,2044.82,2059.15,2066.78,2041.16,60635498.0,sh
3064,2012-09-04,2060.61,2043.65,2063.82,2039.27,57462184.0,sh
3065,2012-09-05,2038.87,2037.68,2048.32,2029.05,57649803.0,sh
3066,2012-09-06,2040.67,2051.92,2052.95,2036.37,56091817.0,sh
3067,2012-09-07,2062.99,2127.76,2145.0,2062.99,139932624.0,sh
3068,2012-09-10,2128.06,2134.89,2140.17,2120.49,103580026.0,sh
3069,2012-09-11,2127.52,2120.55,2127.52,2107.22,80426638.0,sh
3070,2012-09-12,2129.69,2126.55,2137.89,2109.14,84114742.0,sh
3071,2012-09-13,2123.84,2110.38,2130.08,2110.0,79044972.0,sh
3072,2012-09-14,2127.39,2123.85,2136.23,2111.12,91248271.0,sh
3073,2012-09-17,2120.62,2078.5,2121.58,2077.48,76392233.0,sh
3074,2012-09-18,2069.34,2059.54,2074.76,2053.66,53794850.0,sh
3075,2012-09-19,2061.06,2067.83,2069.95,2055.2,52243629.0,sh
3076,2012-09-20,2060.31,2024.84,2060.31,2023.08,67482659.0,sh
3077,2012-09-21,2020.55,2026.69,2041.95,2018.26,60289456.0,sh
3078,2012-09-24,2015.77,2033.19,2040.85,2005.26,57637779.0,sh
3079,2012-09-25,2028.63,2029.29,2039.1,2021.81,48219408.0,sh
3080,2012-09-26,2027.85,2004.17,2033.04,1999.48,50400828.0,sh
3081,2012-09-27,2003.1,2056.32,2068.07,2002.32,76691457.0,sh
3082,2012-09-28,2042.89,2086.17,2089.63,2040.35,79448952.0,sh
3083,2012-10-08,2084.85,2074.42,2096.26,2063.09,55131612.0,sh
3084,2012-10-09,2081.59,2115.23,2119.34,2081.59,84563788.0,sh
3085,2012-10-10,2111.59,2119.94,2121.99,2102.53,78912035.0,sh
3086,2012-10-11,2114.23,2102.87,2117.84,2101.14,74497029.0,sh
3087,2012-10-12,2109.07,2104.93,2127.31,2092.51,68262972.0,sh
3088,2012-10-15,2105.02,2098.7,2107.2,2085.11,53940751.0,sh
3089,2012-10-16,2097.05,2098.81,2111.78,2089.7,57818438.0,sh
3090,2012-10-17,2104.28,2105.62,2113.16,2088.04,59874065.0,sh
3091,2012-10-18,2108.5,2131.69,2137.69,2107.49,87191092.0,sh
3092,2012-10-19,2129.82,2128.3,2136.87,2125.74,67641279.0,sh
3093,2012-10-22,2118.52,2132.76,2138.03,2112.75,60117222.0,sh
3094,2012-10-23,2132.11,2114.45,2136.22,2111.92,72683806.0,sh
3095,2012-10-24,2106.83,2115.99,2124.0,2104.67,72886618.0,sh
